标准向前行递推法
学号:2022302141211, 其中l<=180, 角度为30度
--------------------------------------
L      M         Pln[l][m]
0      0     1.0000000000000000

1      0     1.5000000000000000
1      1     0.8660254037844385

2      0     1.3975424859373686
2      1     1.6770509831248421
2      2     0.4841229182759270

3      0     0.8592329428042205
3      1     2.2277546150777021
3      2     1.1092649593311779
3      3     0.2614562582918985

4      0     0.0703125000000008
4      1     2.3107045394749206
4      2     1.7818666695701451
4      3     0.6792832849776297
4      4     0.1386581199163971

5      0     -0.7405100286552918
5      1     1.8565375211351962
5      2     2.2993847894939754
5      3     1.2465314425264331
5      4     0.3982651281554629
5      5     0.0727129315194776

6      0     -1.3485606821315499
6      1     0.9502128764114128
6      2     2.4747031178290508
6      3     1.8559287053259690
6      4     0.8104756887038498
6      5     0.2270460558984087
6      6     0.0378410093164014

7      0     -1.5886127476866179
7      1     -0.1926306662546096
7      2     2.1970568748495221
7      3     2.3528549723313650
7      4     1.3441448075246873
7      5     0.5029904227018065
7      6     0.1269226037530147
7      7     0.0195845829450013

8      0     -1.3968077255243427
8      1     -1.2840971771537608
8      2     1.4717387242616675
8      3     2.5775398544029331
8      4     1.9145600012956343
8      5     0.9101775580273601
8      6     0.3022261383420488
8      7     0.0699309487022940
8      8     0.0100936630144888

9      0     -0.8263391480132627
9      1     -2.0421330741664412
9      2     0.4277175808575153
9      3     2.4135139392399831
9      4     2.3961106448468747
9      5     1.4206373776183709
9      6     0.5885464520738096
9      7     0.1773184823555708
9      8     0.0381027423024033
9      9     0.0051851264689804

10     0     -0.0322527014053120
10     1     -2.2674987894834153
10     2     -0.7098003241787540
10     3     1.8284787603168720
10     4     2.6507089761734504
10     5     1.9635936240588949
10     6     0.9909812643431392
10     7     0.3679560714038176
10     8     0.1021464026905574
10     9     0.0205778327300110
10     10    0.0026565867821458

11     0     0.7707132679207772
11     1     -1.8988880661969363
11     2     -1.6752290192993411
11     3     0.8948198565214759
11     4     2.5654995808925940
11     5     2.4328008884605223
11     6     1.4838996572464542
11     7     0.6611469414554981
11     8     0.2241911468199977
11     9     0.0579942980595017
11     10    0.0110336335792426
11     11    0.0013581464081886

12     0     1.3660132884979228
12     1     -1.0312183624279729
12     2     -2.2321981539196387
12     3     -0.2178444823439286
12     4     2.0895688450015957
12     5     2.7069378723292421
12     6     2.0059905827933342
12     7     1.0591314199711062
12     8     0.4264453612633062
12     9     0.1338424501531922
12     10    0.0325402615148122
12     11    0.0058809464577496
12     12    0.0006930761866783

13     0     1.5934413671493524
13     1     0.1080457385914448
13     2     -2.2380537764087287
13     3     -1.2780520990472253
13     4     1.2585306074580831
13     5     2.6793432668546022
13     6     2.4648820790509305
13     7     1.5380497143611498
13     8     0.7243532821675823
13     9     0.2678564142076961
13     10    0.0785948395693182
